Jenis_Kelamin,Tinggi_Badan,Berat_Badan,Lahir,Ukur,Umur_Bulan
MALE,157.1,62.1,1975-02-11,1995-07-06,245.0
FEMALE,81.4,10.7,1993-04-02,1995-07-06,27.0
FEMALE,50.0,4.0,1995-05-21,1995-07-06,2.0
MALE,140.0,44.0,,1995-07-07,
MALE,999.0,453.1,1991-10-12,,
MALE,144.4,62.1,1968-10-18,1995-07-07,321.0
MALE,90.2,13.4,1991-06-26,1995-07-07,49.0
FEMALE,73.5,9.0,1993-01-07,1995-07-07,30.0
FEMALE,61.3,6.0,1994-10-19,1995-07-07,9.0
FEMALE,144.0,37.2,1961-03-09,1995-07-12,412.0
FEMALE,82.8,10.9,1992-09-01,1995-07-12,34.0
FEMALE,142.2,59.0,1962-05-14,1995-07-12,398.0
FEMALE,95.5,12.9,1990-01-03,1995-07-12,66.0
MALE,145.3,47.6,1971-10-16,1995-07-12,285.0
FEMALE,91.2,12.7,1991-06-01,1995-07-12,49.0
MALE,81.8,11.1,1992-01-08,1995-07-12,42.0
MALE,56.5,5.3,1995-03-18,1995-07-12,4.0
FEMALE,146.4,49.4,1976-02-13,1995-07-12,233.0
MALE,80.4,10.9,1993-06-23,1995-07-12,25.0
FEMALE,66.3,7.9,1994-08-01,1995-07-12,11.0
MALE,154.1,50.3,1974-04-20,1995-06-27,254.0
FEMALE,149.4,50.3,1971-10-24,1995-06-27,284.0
MALE,137.5,51.3,1976-08-12,1995-06-27,226.0
FEMALE,143.4,49.4,1970-03-22,1995-06-28,303.0
FEMALE,99.2,16.1,1990-06-08,1995-06-28,60.0
FEMALE,80.0,10.6,1991-09-28,1995-06-28,45.0
FEMALE,144.4,49.4,,1995-06-28,
FEMALE,78.6,10.7,1992-02-05,1995-06-28,40.0
MALE,60.0,5.4,1994-06-17,1995-06-28,12.0
MALE,142.9,58.5,1967-08-12,1995-07-04,335.0
MALE,84.9,12.4,1990-12-24,1995-07-04,55.0
FEMALE,65.0,7.5,1994-06-20,1995-07-04,13.0
MALE,146.0,68.5,1971-02-23,1995-06-28,292.0
FEMALE,89.0,12.3,1991-11-09,1995-06-28,43.0
FEMALE,139.4,58.5,,1995-06-28,
MALE,997.0,452.2,1991-02-24,1995-06-28,52.0
MALE,71.7,8.4,1994-01-31,1995-06-28,17.0
FEMALE,139.5,47.2,,1995-06-28,
MALE,65.7,8.4,1994-05-03,1995-06-28,13.0
FEMALE,141.5,49.9,1971-07-19,1995-06-28,287.0
